UTC,Ask,Bid,Ask Volume,Bid Volume
23.02.2026 00:00:00.073 UTC,1.18336,1.18333,1.8,1.8
23.02.2026 00:00:00.179 UTC,1.18334,1.18332,0.9,1.8
23.02.2026 00:00:00.489 UTC,1.18333,1.18331,1.8,0.9
23.02.2026 00:00:00.595 UTC,1.18326,1.18324,0.9,0.9
23.02.2026 00:00:00.699 UTC,1.18326,1.18322,0.9,1.8
23.02.2026 00:00:01.266 UTC,1.18324,1.18321,0.9,0.9
23.02.2026 00:00:01.371 UTC,1.18324,1.1832,0.9,3.6
23.02.2026 00:00:01.475 UTC,1.18325,1.18321,0.9,0.9
23.02.2026 00:00:01.732 UTC,1.18325,1.18322,1.8,1.8
23.02.2026 00:00:01.837 UTC,1.18326,1.18322,0.9,0.9
23.02.2026 00:00:03.473 UTC,1.18324,1.1832,0.9,5.4
23.02.2026 00:00:03.579 UTC,1.18321,1.1832,0.9,0.9
23.02.2026 00:00:03.633 UTC,1.1832,1.18318,0.9,5.4
23.02.2026 00:00:03.738 UTC,1.18319,1.18317,0.9,2.32
23.02.2026 00:00:04.047 UTC,1.18315,1.18314,1.8,2.7
23.02.2026 00:00:04.101 UTC,1.18311,1.18308,0.9,4.5
23.02.2026 00:00:04.207 UTC,1.18314,1.18311,2.7,1.8
23.02.2026 00:00:04.314 UTC,1.18315,1.18311,0.9,0.9
23.02.2026 00:00:04.420 UTC,1.18314,1.18313,0.9,0.9
23.02.2026 00:00:04.627 UTC,1.18316,1.18313,0.9,0.45
23.02.2026 00:00:04.734 UTC,1.18315,1.18313,0.9,0.9
23.02.2026 00:00:05.303 UTC,1.18316,1.18315,0.9,0.9
23.02.2026 00:00:06.725 UTC,1.18317,1.18313,1.8,0.9
23.02.2026 00:00:07.903 UTC,1.18315,1.18312,1.8,2.7
23.02.2026 00:00:08.113 UTC,1.18315,1.18311,0.9,0.9
23.02.2026 00:00:08.218 UTC,1.18315,1.18312,1.8,1.8
23.02.2026 00:00:09.846 UTC,1.18314,1.1831,2.7,1.8
23.02.2026 00:00:09.901 UTC,1.18307,1.18306,1.8,0.22
23.02.2026 00:00:09.955 UTC,1.18308,1.18304,0.9,1.8
23.02.2026 00:00:10.062 UTC,1.18308,1.18305,1.8,2.7
23.02.2026 00:00:10.168 UTC,1.18313,1.18308,5.4,1.8
23.02.2026 00:00:10.273 UTC,1.18313,1.18309,0.9,0.9
23.02.2026 00:00:12.113 UTC,1.18308,1.18306,0.9,0.9
23.02.2026 00:00:12.167 UTC,1.18306,1.18303,1.8,2.7
23.02.2026 00:00:12.751 UTC,1.18309,1.18306,1.8,5.4
23.02.2026 00:00:12.858 UTC,1.18308,1.18306,1.8,0.9
23.02.2026 00:00:12.964 UTC,1.18307,1.18305,1.8,0.9
23.02.2026 00:00:13.269 UTC,1.18308,1.18303,0.9,1.8
23.02.2026 00:00:13.777 UTC,1.18306,1.18303,0.9,1.8
23.02.2026 00:00:14.802 UTC,1.18307,1.18304,0.9,2.7
23.02.2026 00:00:14.908 UTC,1.1831,1.18305,1.8,1.8
23.02.2026 00:00:15.013 UTC,1.18307,1.18304,0.9,1.12
23.02.2026 00:00:15.119 UTC,1.18308,1.18305,0.9,3.6
23.02.2026 00:00:15.224 UTC,1.18309,1.18306,0.9,1.8
23.02.2026 00:00:15.379 UTC,1.18308,1.18306,0.9,0.9
23.02.2026 00:00:15.485 UTC,1.18309,1.18304,0.9,1.8
23.02.2026 00:00:16.052 UTC,1.18303,1.18302,0.9,0.9
23.02.2026 00:00:16.106 UTC,1.18302,1.18301,2.25,0.9
23.02.2026 00:00:16.213 UTC,1.18301,1.18298,0.9,0.9
23.02.2026 00:00:16.266 UTC,1.183,1.18297,0.9,1.8
23.02.2026 00:00:16.525 UTC,1.18299,1.18295,0.9,1.8
23.02.2026 00:00:16.581 UTC,1.18296,1.18293,0.9,0.9
23.02.2026 00:00:16.687 UTC,1.18297,1.18291,7.65,1.8
23.02.2026 00:00:17.568 UTC,1.18294,1.18291,7.2,1.8
23.02.2026 00:00:17.675 UTC,1.18291,1.18287,1.8,2.7
23.02.2026 00:00:17.986 UTC,1.18294,1.1829,1.8,1.8
23.02.2026 00:00:18.091 UTC,1.18294,1.18291,1.6,1.8
23.02.2026 00:00:19.512 UTC,1.18295,1.18292,1.8,0.9
23.02.2026 00:00:19.618 UTC,1.18296,1.18293,1.8,0.9
23.02.2026 00:00:19.725 UTC,1.18296,1.18291,1.8,1.8
23.02.2026 00:00:20.855 UTC,1.18296,1.18292,0.9,0.9
23.02.2026 00:00:20.960 UTC,1.18295,1.18291,0.9,1.8
23.02.2026 00:00:21.065 UTC,1.18296,1.18291,3.6,1.8
23.02.2026 00:00:22.179 UTC,1.18298,1.18295,0.9,1.8
23.02.2026 00:00:22.233 UTC,1.18299,1.18297,0.7,2.7
23.02.2026 00:00:22.340 UTC,1.18301,1.18296,0.9,2.7
23.02.2026 00:00:23.412 UTC,1.18302,1.18298,0.9,1.8
23.02.2026 00:00:23.570 UTC,1.18302,1.18299,0.9,0.9
23.02.2026 00:00:23.677 UTC,1.18303,1.183,1.8,0.9
23.02.2026 00:00:24.495 UTC,1.18301,1.18299,0.9,0.9
23.02.2026 00:00:24.598 UTC,1.18301,1.18298,0.9,0.9
23.02.2026 00:00:25.159 UTC,1.18303,1.18297,2.7,2.7
23.02.2026 00:00:25.264 UTC,1.18302,1.18297,0.9,0.9
23.02.2026 00:00:25.418 UTC,1.18302,1.18298,1.8,1.8
23.02.2026 00:00:25.982 UTC,1.18301,1.18298,0.9,1.8
23.02.2026 00:00:26.714 UTC,1.183,1.18297,0.9,0.9
23.02.2026 00:00:26.766 UTC,1.18299,1.18296,0.9,1.8
23.02.2026 00:00:27.129 UTC,1.18297,1.18295,0.9,0.9
23.02.2026 00:00:27.234 UTC,1.18297,1.18294,0.9,0.9
23.02.2026 00:00:27.340 UTC,1.18297,1.18292,1.8,1.8
23.02.2026 00:00:27.751 UTC,1.18296,1.18291,0.9,2.7
23.02.2026 00:00:28.772 UTC,1.18294,1.18292,0.9,0.9
23.02.2026 00:00:28.879 UTC,1.18296,1.18292,0.9,0.9
23.02.2026 00:00:29.550 UTC,1.18297,1.18294,2.7,2.7
23.02.2026 00:00:29.604 UTC,1.183,1.18295,0.9,2.7
23.02.2026 00:00:30.065 UTC,1.18299,1.18297,0.9,0.9
23.02.2026 00:00:30.170 UTC,1.18301,1.18296,0.9,2.7
23.02.2026 00:00:30.780 UTC,1.18301,1.18299,1.8,0.9
23.02.2026 00:00:30.835 UTC,1.18305,1.18303,1.82,1.8
23.02.2026 00:00:30.944 UTC,1.18307,1.18306,4.5,1.8
23.02.2026 00:00:31.049 UTC,1.1831,1.18305,1.8,2.7
23.02.2026 00:00:31.155 UTC,1.1831,1.18309,0.9,0.9
23.02.2026 00:00:31.208 UTC,1.1831,1.18306,1.8,0.9
23.02.2026 00:00:31.262 UTC,1.18308,1.18304,0.9,2.7
23.02.2026 00:00:31.828 UTC,1.18308,1.18303,1.8,2.7
23.02.2026 00:00:32.340 UTC,1.18308,1.18304,0.9,0.9
23.02.2026 00:00:32.499 UTC,1.18309,1.18306,0.9,0.45
23.02.2026 00:00:32.553 UTC,1.1831,1.18308,0.9,0.9
23.02.2026 00:00:34.081 UTC,1.1831,1.18307,1.8,2.7
23.02.2026 00:00:38.345 UTC,1.18311,1.1831,0.9,0.9
23.02.2026 00:00:38.450 UTC,1.18312,1.18308,0.9,0.9
23.02.2026 00:00:41.697 UTC,1.18311,1.18308,0.9,1.8
23.02.2026 00:00:42.712 UTC,1.18311,1.18306,0.9,2.7
23.02.2026 00:00:43.426 UTC,1.18308,1.18305,0.9,2.7
23.02.2026 00:00:43.482 UTC,1.18302,1.18301,0.9,0.9
23.02.2026 00:00:43.587 UTC,1.18302,1.183,5.4,0.9
23.02.2026 00:00:43.692 UTC,1.18301,1.18299,0.9,0.9
23.02.2026 00:00:44.003 UTC,1.18303,1.18301,3.6,0.9
23.02.2026 00:00:44.110 UTC,1.18302,1.183,0.9,2.7
23.02.2026 00:00:44.420 UTC,1.18302,1.18299,1.8,2.7
23.02.2026 00:00:44.993 UTC,1.18302,1.18298,0.9,1.8
23.02.2026 00:00:46.168 UTC,1.18299,1.18298,0.9,0.9
23.02.2026 00:00:46.221 UTC,1.18302,1.18297,1.8,2.7
23.02.2026 00:00:46.327 UTC,1.18302,1.18299,2.7,1.8
23.02.2026 00:00:46.839 UTC,1.18302,1.18298,0.9,0.9
23.02.2026 00:00:46.943 UTC,1.18302,1.18297,1.8,1.8
23.02.2026 00:00:48.721 UTC,1.18303,1.18297,1.8,1.8
23.02.2026 00:00:51.044 UTC,1.18301,1.18298,0.9,0.9
23.02.2026 00:00:51.399 UTC,1.18302,1.18298,5.4,0.9
23.02.2026 00:00:51.604 UTC,1.18304,1.18298,1.8,1.8
23.02.2026 00:00:51.709 UTC,1.18303,1.18298,0.9,1.8
23.02.2026 00:00:52.630 UTC,1.18307,1.18303,0.22,8.1
23.02.2026 00:00:52.739 UTC,1.18307,1.18305,6.1,1.8
23.02.2026 00:00:52.948 UTC,1.1831,1.18304,1.8,0.9
23.02.2026 00:00:53.561 UTC,1.18308,1.18304,0.9,1.8
23.02.2026 00:00:53.666 UTC,1.18307,1.18304,0.9,1.8
23.02.2026 00:00:54.587 UTC,1.18307,1.18302,1.8,1.8
23.02.2026 00:00:54.642 UTC,1.18303,1.183,0.9,0.9
23.02.2026 00:00:54.748 UTC,1.18301,1.18298,0.9,1.8
23.02.2026 00:00:58.193 UTC,1.18302,1.18301,0.9,1.8
23.02.2026 00:00:58.298 UTC,1.18304,1.18302,0.9,1.8
23.02.2026 00:00:58.402 UTC,1.18306,1.18301,1.8,1.8
23.02.2026 00:01:01.654 UTC,1.18306,1.183,1.8,3.6
23.02.2026 00:01:01.708 UTC,1.18302,1.18299,0.9,4.5
23.02.2026 00:01:01.864 UTC,1.18301,1.18299,0.9,0.9
23.02.2026 00:01:01.969 UTC,1.18302,1.18297,1.8,0.9
23.02.2026 00:01:02.126 UTC,1.18301,1.18299,0.9,0.9
23.02.2026 00:01:02.586 UTC,1.18301,1.18297,0.9,0.9
23.02.2026 00:01:02.692 UTC,1.18298,1.18295,0.9,0.9
23.02.2026 00:01:02.746 UTC,1.18293,1.18291,4.5,0.45
23.02.2026 00:01:02.799 UTC,1.18291,1.18287,0.9,2.7
23.02.2026 00:01:02.905 UTC,1.1829,1.18287,1.8,0.9
23.02.2026 00:01:05.405 UTC,1.18287,1.18283,1.8,2.7
23.02.2026 00:01:05.459 UTC,1.18285,1.18282,0.9,3.6
23.02.2026 00:01:05.970 UTC,1.18287,1.18281,0.9,0.9
23.02.2026 00:01:09.642 UTC,1.18286,1.18281,0.9,1.8
23.02.2026 00:01:10.301 UTC,1.18285,1.1828,2.7,1.8
23.02.2026 00:01:10.358 UTC,1.18281,1.18277,6.3,0.9
23.02.2026 00:01:10.464 UTC,1.18282,1.18278,0.9,0.9
23.02.2026 00:01:10.570 UTC,1.18285,1.1828,6.3,0.9
23.02.2026 00:01:10.932 UTC,1.18281,1.18279,0.9,0.9
23.02.2026 00:01:11.038 UTC,1.18281,1.18277,6.3,1.8
23.02.2026 00:01:11.705 UTC,1.18281,1.18275,6.3,1.8
23.02.2026 00:01:12.575 UTC,1.18276,1.18273,0.9,4.5
23.02.2026 00:01:13.295 UTC,1.18275,1.18273,0.9,0.9
23.02.2026 00:01:13.400 UTC,1.18275,1.18272,0.9,1.8
23.02.2026 00:01:13.606 UTC,1.18274,1.18271,0.9,0.9
23.02.2026 00:01:13.713 UTC,1.18273,1.1827,1.8,0.9
23.02.2026 00:01:14.076 UTC,1.18273,1.18271,1.8,0.9
23.02.2026 00:01:14.232 UTC,1.18273,1.1827,0.9,1.8
23.02.2026 00:01:14.387 UTC,1.18274,1.1827,0.9,1.8
23.02.2026 00:01:15.207 UTC,1.18273,1.1827,1.8,1.8
23.02.2026 00:01:15.518 UTC,1.18273,1.18271,0.9,1.8
23.02.2026 00:01:15.633 UTC,1.18274,1.18271,1.8,1.8
23.02.2026 00:01:17.261 UTC,1.18274,1.1827,1.8,0.9
23.02.2026 00:01:17.572 UTC,1.18271,1.1827,0.9,0.9
23.02.2026 00:01:17.626 UTC,1.1827,1.18267,0.9,3.6
23.02.2026 00:01:18.043 UTC,1.1827,1.18269,5.4,0.9
23.02.2026 00:01:18.151 UTC,1.18272,1.1827,6.3,4.5
23.02.2026 00:01:18.205 UTC,1.18274,1.18272,3.4,4.5
23.02.2026 00:01:18.361 UTC,1.18274,1.18273,0.9,0.9
23.02.2026 00:01:18.717 UTC,1.18274,1.18272,0.9,0.9
23.02.2026 00:01:18.820 UTC,1.18274,1.18271,0.9,1.8
23.02.2026 00:01:19.075 UTC,1.18273,1.18271,0.9,1.8
23.02.2026 00:01:19.233 UTC,1.18272,1.18269,6.3,3.6
23.02.2026 00:01:19.746 UTC,1.18271,1.18268,6.3,2.7
23.02.2026 00:01:20.513 UTC,1.18272,1.18271,0.9,0.9
23.02.2026 00:01:20.569 UTC,1.18274,1.18272,3.6,0.9
23.02.2026 00:01:24.951 UTC,1.18271,1.18269,0.9,4.05
23.02.2026 00:01:25.058 UTC,1.1827,1.18268,1.8,1.8
23.02.2026 00:01:26.027 UTC,1.18272,1.18271,0.9,0.9
23.02.2026 00:01:26.132 UTC,1.18273,1.18271,0.9,0.9
23.02.2026 00:01:26.186 UTC,1.18274,1.18272,1.8,1.8
23.02.2026 00:01:26.240 UTC,1.18278,1.18275,3.82,7.2
23.02.2026 00:01:26.296 UTC,1.1828,1.18279,0.9,1.8
23.02.2026 00:01:26.350 UTC,1.18281,1.1828,0.9,0.9
23.02.2026 00:01:26.405 UTC,1.18284,1.18282,4.5,5.4
23.02.2026 00:01:26.512 UTC,1.18287,1.18286,1.8,0.9
23.02.2026 00:01:26.618 UTC,1.18287,1.18284,2.7,1.8
23.02.2026 00:01:26.672 UTC,1.18286,1.18282,0.9,3.6
23.02.2026 00:01:27.138 UTC,1.18284,1.18283,1.8,0.9
23.02.2026 00:01:27.243 UTC,1.18285,1.18281,2.7,0.9
23.02.2026 00:01:28.058 UTC,1.18281,1.1828,0.9,0.9
23.02.2026 00:01:28.163 UTC,1.18283,1.18278,2.7,1.8
23.02.2026 00:01:28.777 UTC,1.18281,1.18277,0.9,1.8
23.02.2026 00:01:30.207 UTC,1.18283,1.18281,2.47,1.8
23.02.2026 00:01:30.262 UTC,1.1828,1.18279,0.9,0.9
23.02.2026 00:01:30.420 UTC,1.18281,1.18277,0.9,1.8
23.02.2026 00:01:32.872 UTC,1.1828,1.18276,0.9,0.9
23.02.2026 00:01:32.980 UTC,1.18279,1.18276,0.9,2.7
23.02.2026 00:01:33.441 UTC,1.18281,1.18279,0.9,1.8
23.02.2026 00:01:35.631 UTC,1.1828,1.18276,0.9,1.8
23.02.2026 00:01:37.149 UTC,1.1828,1.18275,2.7,0.9
23.02.2026 00:01:37.356 UTC,1.1828,1.18276,1.8,0.9
23.02.2026 00:01:38.174 UTC,1.18279,1.18276,1.8,1.8
23.02.2026 00:01:39.949 UTC,1.1828,1.18276,0.9,0.9
23.02.2026 00:01:40.513 UTC,1.1828,1.18277,0.9,0.9
23.02.2026 00:01:40.616 UTC,1.1828,1.18276,0.9,1.8
23.02.2026 00:01:41.025 UTC,1.18279,1.18278,0.9,0.9
23.02.2026 00:01:41.201 UTC,1.18281,1.18276,1.8,2.7
23.02.2026 00:01:41.307 UTC,1.18281,1.18277,2.7,0.9
23.02.2026 00:01:41.870 UTC,1.1828,1.18277,1.8,2.7
23.02.2026 00:01:43.090 UTC,1.1828,1.18276,0.9,1.8
23.02.2026 00:01:43.450 UTC,1.18276,1.18275,9.9,0.9
23.02.2026 00:01:43.557 UTC,1.18275,1.18272,7.2,1.8
23.02.2026 00:01:44.118 UTC,1.18271,1.18269,0.9,0.9
23.02.2026 00:01:44.171 UTC,1.18269,1.18267,1.8,5.4
23.02.2026 00:01:47.777 UTC,1.18275,1.1827,3.15,1.8
23.02.2026 00:01:48.093 UTC,1.18275,1.18272,2.7,0.9
23.02.2026 00:01:48.352 UTC,1.18276,1.18274,2.7,0.9
23.02.2026 00:01:49.072 UTC,1.18276,1.18274,1.8,0.9
23.02.2026 00:01:49.782 UTC,1.18277,1.18276,0.9,0.9
23.02.2026 00:01:49.837 UTC,1.18279,1.18277,0.9,1.8
23.02.2026 00:01:49.944 UTC,1.1828,1.18278,0.9,4.5
23.02.2026 00:01:49.998 UTC,1.1828,1.18276,0.9,1.8
23.02.2026 00:01:51.770 UTC,1.18281,1.18276,2.7,2.7
23.02.2026 00:01:51.974 UTC,1.18279,1.18277,0.9,2.7
23.02.2026 00:01:52.129 UTC,1.18279,1.18276,0.9,0.9
23.02.2026 00:01:52.787 UTC,1.18278,1.18276,0.9,2.7
23.02.2026 00:01:53.143 UTC,1.18279,1.18276,0.9,0.9
23.02.2026 00:01:55.109 UTC,1.18279,1.18275,0.9,2.7
23.02.2026 00:01:55.565 UTC,1.18279,1.18276,0.9,0.9
23.02.2026 00:01:56.175 UTC,1.18281,1.18279,3.6,0.9
23.02.2026 00:01:56.281 UTC,1.18281,1.18278,0.9,1.8
23.02.2026 00:01:56.385 UTC,1.18282,1.18278,0.9,1.8
23.02.2026 00:01:58.544 UTC,1.18281,1.18276,0.9,2.7
23.02.2026 00:01:59.110 UTC,1.18278,1.18277,0.9,0.9
23.02.2026 00:01:59.417 UTC,1.18278,1.18276,0.9,2.7
23.02.2026 00:02:00.334 UTC,1.18281,1.18276,2.7,1.8
23.02.2026 00:02:00.490 UTC,1.18283,1.18281,2.25,2.7
23.02.2026 00:02:00.595 UTC,1.18284,1.18282,0.9,0.9
